param,value,conductor_segments,topology_nodes,topology_edges,endpoints,boundaries_resolved,boundaries_conflicted,wires,wires_resolved,wires_unresolved,wires_conflicted,electrical_nets,shared_segments,validation_errors,validation_warnings,valid_wires,conflicted_endpoint_ids
terminal_recognition.aligned_boundary_max_distance,15.2,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
terminal_recognition.aligned_boundary_max_distance,16.8,294,692,877,210,35,5,41,41,0,0,9,1,0,31,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-731ae6a45fb30f5a;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
terminal_recognition.aligned_boundary_max_distance,17.6,294,692,877,210,35,5,41,41,0,0,9,1,0,31,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-731ae6a45fb30f5a;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
terminal_recognition.minimum_alignment_cosine,0.765,294,692,877,210,38,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
terminal_recognition.minimum_alignment_cosine,0.8075,294,692,877,210,37,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
terminal_recognition.minimum_alignment_cosine,0.8925,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
terminal_recognition.minimum_alignment_cosine,0.935,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
terminal_recognition.terminal_lead_max_distance,5.0,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
terminal_recognition.terminal_lead_max_distance,5.5,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
terminal_recognition.terminal_lead_max_distance,6.5,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
